Dataset,gamma1,Model,ModelClass,Transform,TransformClass,RMSE_train,RMSE_test,MAE_test,MAPE_test,R2_test,delta_RMSE_train_pct,delta_RMSE_test_pct,CV_RMSE_mean,CV_RMSE_std,DM_stat,DM_p,paired_t_stat,paired_t_p,cohens_d,min_n_80power,is_underpowered
Ames_Housing,1.9310266972809633,МНК,линейные,ln(y),степенное (фикс. λ→0),38388.90617227239,31656.895155141337,19887.109229278816,9.905564705043963,0.8729405061743583,7.843597429842602,-20.65229799391558,59598.899124902244,45615.4792432084,1.9391217965504053,0.05248650919814479,0.9557818117910388,0.3933070171513128,0.12927478643669368,469.65615320100903,1.0
Ames_Housing,1.9310266972809633,МНК,линейные,√y,степенное (фикс. λ=0.5),34986.69074861446,36377.78503380709,21487.98260767619,10.577263161490546,0.832218918441905,-1.7140374991665899,-8.819433101128592,43260.01290201641,16377.223631484558,2.394270287732507,0.01665347146474594,0.41281159832380493,0.7009130322033188,0.15961801918216711,308.0660502977336,1.0
Ames_Housing,1.9310266972809633,МНК,линейные,asinh(y),гиперболическое,38388.90617196288,31656.895155435668,19887.10922931383,9.905564705044867,0.8729405061719956,7.843597428973109,-20.652297993177843,59598.899123748975,45615.47924132608,1.9391217965661396,0.052486509196229214,0.9557818117783669,0.3933070171569958,0.12927478643774265,469.65615319338724,1.0
Ames_Housing,1.9310266972809633,МНК,линейные,Box-Cox,степенное параметрическое (λ по MLE),42905.58084540831,29684.26311804156,19475.07856550581,9.875743698086886,0.8882820314361237,20.53201431219324,-25.5966811458441,91131.63515546192,101985.66412232677,1.8390087798740995,0.06591389470237696,1.0509047083443883,0.35259858176193176,0.12260058532493998,522.1828297182352,1.0
Ames_Housing,1.9310266972809633,МНК,линейные,Yeo-Johnson,"степенное параметрическое (λ по MLE, R)",42905.729550113814,29684.23147552157,19475.06455666634,9.87574101441419,0.8882822696118976,20.532432059193493,-25.596760457514893,91133.48002385077,101989.11632588532,1.839007593197409,0.0659140692408291,1.0509053068601097,0.35259833774229826,0.1226005062131606,522.1835036277878,1.0
Ames_Housing,1.9310266972809633,МНК,линейные,Quantile,ранговое непараметрическое,37207.49834847396,30594.67854104013,19883.924028579186,9.869160142123823,0.8813241710504804,4.524740956609487,-23.314733679682,38954.53492886977,9712.042984522277,1.7313700627124267,0.08338578257457807,-1.0715757581267762,0.3442601873265066,0.11542467084749511,589.1289777068589,1.0
Ames_Housing,1.9310266972809633,Ridge,линейные,Без преобр.,—,35624.4366168852,39837.24218960168,23494.20408564771,11.876652546040651,0.7987902520916891,0.0,0.0,41829.87154785726,10195.246234232314,,,,,,,
Ames_Housing,1.9310266972809633,Ridge,линейные,ln(y),степенное (фикс. λ→0),38419.1938054759,31654.624082127313,19869.280304142812,9.89386013584225,0.8729587360756457,7.845056522988067,-20.540121900331236,60384.79618711841,47117.70885364728,1.9283781896673584,0.053808102655436896,0.9623672701739178,0.3903631135414539,0.1285585459778239,474.9039380876892,1.0
Ames_Housing,1.9310266972809633,Ridge,линейные,√y,степенное (фикс. λ=0.5),35024.82492007204,36369.634688966864,21445.21173645537,10.54965123501114,0.8322940918193767,-1.6831471701897966,-8.70443662774411,43461.949031305994,16726.673027558514,2.371705823617498,0.017706181838391233,0.4467744759364439,0.6781603844108727,0.15811372157449988,313.95583047003043,1.0
Ames_Housing,1.9310266972809633,Ridge,линейные,asinh(y),гиперболическое,38418.498028653376,31655.059544389696,19869.496819154323,9.893941910417233,0.8729552407217548,7.843103434353969,-20.539028796897238,60321.403486754876,47143.67998563338,1.928348415914992,0.053811803434466565,0.9583653856030044,0.3921498270664196,0.12855656106099947,474.91860326053063,1.0
Ames_Housing,1.9310266972809633,Ridge,линейные,Box-Cox,степенное параметрическое (λ по MLE),42936.56207212431,29682.627184877336,19464.671360155364,9.869300419915852,0.8882943449028887,20.525589032819465,-25.490255968007002,94054.49926510421,107845.67572626151,1.829730997678743,0.06729017333743625,1.049163441454869,0.3533091468264396,0.1219820665119162,527.4917863486069,1.0
Ames_Housing,1.9310266972809633,Ridge,линейные,Yeo-Johnson,"степенное параметрическое (λ по MLE, R)",42937.65356783399,29682.385710549745,19464.512406278547,9.869249561130838,0.8882961623928343,20.528652928878852,-25.490862120226183,94223.15223057123,107767.97046898621,1.8297444118353305,0.06728816652176173,1.053417786655072,0.3515753041475022,0.12198296078902204,527.4840521192382,1.0
Ames_Housing,1.9310266972809633,Ridge,линейные,Quantile,ранговое непараметрическое,37196.40648210251,30578.33492281999,19837.004298602442,9.841921995658153,0.8814509299817396,4.412616772365268,-23.241837933245417,38936.114323645525,9693.100573719114,1.7260508081853732,0.08433827252175652,-1.0704589043205135,0.344706157364676,0.11507005387902489,592.7656674798932,1.0
Ames_Housing,1.9310266972809633,Lasso,линейные,Без преобр.,—,35597.008105792236,39894.625728514126,23632.243233497316,11.977074531523368,0.7982101696075218,0.0,0.0,41784.86827166146,9990.905515088236,,,,,,,
Ames_Housing,1.9310266972809633,Lasso,линейные,ln(y),степенное (фикс. λ→0),39136.39386189492,31772.367063004374,19665.110498452366,9.777499619012145,0.8720118894812038,9.942930443996397,-20.35928027194019,61415.97330072118,48953.2398440177,1.9435341160001456,0.05195165747315644,0.9657623530389182,0.38885278329638445,0.12956894106667638,467.5260946981788,1.0
